name,clade,class
Copia-11G_DR-LTR,Copia,LTR Retrotransposon
Copia-11H_DR-LTR,Copia,LTR Retrotransposon
Copia-11I_DR-LTR,Copia,LTR Retrotransposon
Copia-11J_DR-LTR,Copia,LTR Retrotransposon
Copia-11K_DR-LTR,Copia,LTR Retrotransposon
Copia-11_DR-LTR,Copia,LTR Retrotransposon
Copia-12B_DR-LTR,Copia,LTR Retrotransposon
Copia-12_DR-LTR,Copia,LTR Retrotransposon
Copia-13B_DR-I,Copia,LTR Retrotransposon
Copia-13B_DR-LTR,Copia,LTR Retrotransposon
Copia-13C_DR-I,Copia,LTR Retrotransposon
Copia-13D_DR-LTR,Copia,LTR Retrotransposon
Copia-13E_DR-I,Copia,LTR Retrotransposon
Copia-13E_DR-LTR,Copia,LTR Retrotransposon
Copia-13F_DR-I,Copia,LTR Retrotransposon
Copia-13G_DR-I,Copia,LTR Retrotransposon
Copia-13G_DR-LTR,Copia,LTR Retrotransposon
Copia-13_DR-I,Copia,LTR Retrotransposon
Copia-13_DR-LTR,Copia,LTR Retrotransposon
Copia-14_DR-I,Copia,LTR Retrotransposon
Copia-14_DR-LTR,Copia,LTR Retrotransposon
Copia-15B_DR-LTR,Copia,LTR Retrotransposon
Copia-15_DR-LTR,Copia,LTR Retrotransposon
Copia-16_DR-I,Copia,LTR Retrotransposon
Copia-16_DR-LTR,Copia,LTR Retrotransposon
Copia-17_DR-LTR,Copia,LTR Retrotransposon
Copia-18_DR-LTR,Copia,LTR Retrotransposon
Copia-19_DR-I,Copia,LTR Retrotransposon
Copia-19_DR-LTR,Copia,LTR Retrotransposon
Copia-20_DR-I,Copia,LTR Retrotransposon
Copia-20_DR-LTR,Copia,LTR Retrotransposon
Copia-21_DR-I,Copia,LTR Retrotransposon
Copia-21_DR-LTR,Copia,LTR Retrotransposon
Copia-22_DR-LTR,Copia,LTR Retrotransposon
Copia-23_DR-I,Copia,LTR Retrotransposon
Copia-23_DR-LTR,Copia,LTR Retrotransposon
Copia-24_DR-LTR,Copia,LTR Retrotransposon
Copia-25_DR-I,Copia,LTR Retrotransposon
Copia-25_DR-LTR,Copia,LTR Retrotransposon
Copia-26_DR-I,Copia,LTR Retrotransposon
Copia-26_DR-LTR,Copia,LTR Retrotransposon
Copia-27_DR-I,Copia,LTR Retrotransposon
Copia-27_DR-LTR,Copia,LTR Retrotransposon
Copia-28_DR-LTR,Copia,LTR Retrotransposon
Copia-29_DR-I,Copia,LTR Retrotransposon
Copia-29_DR-LTR,Copia,LTR Retrotransposon
Copia-30_DR-LTR,Copia,LTR Retrotransposon
Copia-6-I_DR,Copia,LTR Retrotransposon
Copia-7-I_DR,Copia,LTR Retrotransposon
Copia-7-LTR_DR,Copia,LTR Retrotransposon
Copia-8-I_DR,Copia,LTR Retrotransposon
Copia-8-LTR_DR,Copia,LTR Retrotransposon
Copia-9-LTR_DR,Copia,LTR Retrotransposon
Copia1-I_DR,Copia,LTR Retrotransposon
Copia1-LTR_DR,Copia,LTR Retrotransposon
Copia2-I_DR,Copia,LTR Retrotransposon
Copia2-LTR_DR,Copia,LTR Retrotransposon
Copia3-I_DR,Copia,LTR Retrotransposon
Copia3-LTR_DR,Copia,LTR Retrotransposon
Copia4-I_DR,Copia,LTR Retrotransposon
Copia4-LTR_DR,Copia,LTR Retrotransposon
Copia5-I_DR,Copia,LTR Retrotransposon
Copia5-LTR_DR,Copia,LTR Retrotransposon
Copia6-LTR_DR,Copia,LTR Retrotransposon
CR1-10_DR,CR1,Non-LTR Retrotransposon
CR1-12_DR,CR1,Non-LTR Retrotransposon
CR1-18_DR,CR1,Non-LTR Retrotransposon
CR1-22_DR,CR1,Non-LTR Retrotransposon
CR1-24_DR,CR1,Non-LTR Retrotransposon
CR1-25_DR,L2,Non-LTR Retrotransposon
CR1-37_DR,CR1,Non-LTR Retrotransposon
CR1-42_DR,CR1,Non-LTR Retrotransposon
CR1-44_DR,CR1,Non-LTR Retrotransposon
CR1-46_DR,CR1,Non-LTR Retrotransposon
CR1-49_DR,CR1,Non-LTR Retrotransposon
CR1-51_DR,CR1,Non-LTR Retrotransposon
CR1-54_DR,CR1,Non-LTR Retrotransposon
CR1-55_DR,CR1,Non-LTR Retrotransposon
Crack-1_DR,Crack,Non-LTR Retrotransposon
Crack-2_DR,Crack,Non-LTR Retrotransposon
Crack-3_DR,Crack,Non-LTR Retrotransposon
Crack-4_DR,Crack,Non-LTR Retrotransposon
Crack-5_DR,Crack,Non-LTR Retrotransposon
Crack-6_DR,Crack,Non-LTR Retrotransposon
Crack-7_DR,Crack,Non-LTR Retrotransposon
CryptonA-1_DR,Crypton,DNA transposon
CryptonV-1_DR,Crypton,DNA transposon
CryptonV-2_DR,Crypton,DNA transposon
CryptonV-3_DR,Crypton,DNA transposon
CryptonV-N1_DR,Crypton,DNA transposon
CryptonV-N2_DR,Crypton,DNA transposon
CryptonV-N3_DR,Crypton,DNA transposon
CryptonV-N4_DR,Crypton,DNA transposon
CryptonV-N5_DR,Crypton,DNA transposon
CryptonV-N6_DR,Crypton,DNA transposon
CryptonV-N7_DR,Crypton,DNA transposon
Dada-tA_DR,Dada,DNA transposon
Dada-tL_DR,Dada,DNA transposon
Dada-U1A_DR,Dada,DNA transposon
Dada-U1B_DR,Dada,DNA transposon
Dada-U6N1_DR,Dada,DNA transposon
Dada-U6_DR,Dada,DNA transposon
Daphne-27_DRe,Daphne,Non-LTR Retrotransposon
DIRS-1-LTR_DR,DIRS,LTR Retrotransposon
DIRS-10_DR,DIRS,LTR Retrotransposon
DIRS-12_DR,DIRS,LTR Retrotransposon
DIRS-13_DR,DIRS,LTR Retrotransposon
DIRS-14_DR,DIRS,LTR Retrotransposon
DIRS-15B_DR,DIRS,LTR Retrotransposon
DIRS-15_DR,DIRS,LTR Retrotransposon
DIRS-16_DR,DIRS,LTR Retrotransposon
DIRS-17_DR,DIRS,LTR Retrotransposon
DIRS-18_DR,DIRS,LTR Retrotransposon
DIRS-1B-LTR_DR,DIRS,LTR Retrotransposon
DIRS-1B_DR,DIRS,LTR Retrotransposon
DIRS-1C-LTR_DR,DIRS,LTR Retrotransposon
DIRS-1D-I_DR,DIRS,LTR Retrotransposon
DIRS-1D-LTR_DR,DIRS,LTR Retrotransposon
