name,class,clade
ATDNA2T9C,MuDR,DNA transposon
ATDNAI26T9,MuDR,DNA transposon
ATDNAI27T9A,MuDR,DNA transposon
ATDNAI27T9B,MuDR,DNA transposon
ATDNAI27T9C,MuDR,DNA transposon
ATDNATA1,Mariner/Tc1,DNA transposon
ATENSPM1,EnSpm/CACTA,DNA transposon
ATENSPM10,EnSpm/CACTA,DNA transposon
ATENSPM11,EnSpm/CACTA,DNA transposon
ATENSPM12,EnSpm/CACTA,DNA transposon
ATENSPM1A,EnSpm/CACTA,DNA transposon
ATENSPM2,EnSpm/CACTA,DNA transposon
ATENSPM3,EnSpm/CACTA,DNA transposon
ATENSPM4,EnSpm/CACTA,DNA transposon
ATENSPM5,EnSpm/CACTA,DNA transposon
ATENSPM6,EnSpm/CACTA,DNA transposon
ATENSPM7,EnSpm/CACTA,DNA transposon
ATENSPM8,EnSpm/CACTA,DNA transposon
ATENSPM9,EnSpm/CACTA,DNA transposon
ATGP10LTR,Gypsy,LTR Retrotransposon
ATGP10_I,Gypsy,LTR Retrotransposon
ATGP11_I,Gypsy,LTR Retrotransposon
ATGP11_LTR,Gypsy,LTR Retrotransposon
ATGP1I,Gypsy,LTR Retrotransposon
ATGP1LTR,Gypsy,LTR Retrotransposon
ATGP2I,Gypsy,LTR Retrotransposon
ATGP2LTR,Gypsy,LTR Retrotransposon
ATGP2NLTR,Gypsy,LTR Retrotransposon
ATGP2N_I,Gypsy,LTR Retrotransposon
ATGP3A_I,Gypsy,LTR Retrotransposon
ATGP3A_LTR,Gypsy,LTR Retrotransposon
ATGP3B_I,Gypsy,LTR Retrotransposon
ATGP3B_LTR,Gypsy,LTR Retrotransposon
ATGP3I,Gypsy,LTR Retrotransposon
ATGP3LTR,Gypsy,LTR Retrotransposon
ATGP4_I,Gypsy,LTR Retrotransposon
ATGP4_LTR,Gypsy,LTR Retrotransposon
ATGP5A_I,Gypsy,LTR Retrotransposon
ATGP5A_LTR,Gypsy,LTR Retrotransposon
ATGP5I,Gypsy,LTR Retrotransposon
ATGP5LTR,Gypsy,LTR Retrotransposon
ATGP6I,Gypsy,LTR Retrotransposon
ATGP6LTR,Gypsy,LTR Retrotransposon
ATGP7I,Gypsy,LTR Retrotransposon
ATGP7LTR,Gypsy,LTR Retrotransposon
ATGP8I,Gypsy,LTR Retrotransposon
ATGP8LTR,Gypsy,LTR Retrotransposon
ATGP9BI,Gypsy,LTR Retrotransposon
ATGP9BLTR,Gypsy,LTR Retrotransposon
ATGP9LTR,Gypsy,LTR Retrotransposon
ATHAT1,hAT,DNA transposon
ATHAT10,hAT,DNA transposon
ATHAT2,hAT,DNA transposon
ATHAT3,hAT,DNA transposon
ATHAT7,hAT,DNA transposon
ATHAT8,hAT,DNA transposon
ATHAT9,hAT,DNA transposon
ATHATN1,hAT,DNA transposon
ATHATN10,hAT,DNA transposon
ATHATN2,hAT,DNA transposon
ATHATN3,hAT,DNA transposon
ATHATN3A,hAT,DNA transposon
ATHATN4,hAT,DNA transposon
ATHATN5,hAT,DNA transposon
ATHATN6,hAT,DNA transposon
ATHATN7,hAT,DNA transposon
ATHATN8,hAT,DNA transposon
ATHATN9,hAT,DNA transposon
ATHILA0B_I,Gypsy,LTR Retrotransposon
ATHILA0_I,Gypsy,LTR Retrotransposon
ATHILA2_I,Gypsy,LTR Retrotransposon
ATHILA2_LTR,Gypsy,LTR Retrotransposon
ATHILA3_I,Gypsy,LTR Retrotransposon
ATHILA3_LTR,Gypsy,LTR Retrotransposon
ATHILA4A_I,Gypsy,LTR Retrotransposon
ATHILA4A_LTR,Gypsy,LTR Retrotransposon
ATHILA4B_LTR,Gypsy,LTR Retrotransposon
ATHILA4C_I,Gypsy,LTR Retrotransposon
ATHILA4C_LTR,Gypsy,LTR Retrotransposon
ATHILA4D_I,Gypsy,LTR Retrotransposon
ATHILA4D_LTR,Gypsy,LTR Retrotransposon
ATHILA4_I,Gypsy,LTR Retrotransposon
ATHILA4_LTR,Gypsy,LTR Retrotransposon
ATHILA5_I,Gypsy,LTR Retrotransposon
ATHILA5_LTR,Gypsy,LTR Retrotransposon
ATHILA6A_I,Gypsy,LTR Retrotransposon
ATHILA6A_LTR,Gypsy,LTR Retrotransposon
ATHILA6B_I,Gypsy,LTR Retrotransposon
ATHILA6C_I,Gypsy,LTR Retrotransposon
ATHILA6C_LTR,Gypsy,LTR Retrotransposon
ATHILA6D_I,Gypsy,LTR Retrotransposon
ATHILA7A_I,Gypsy,LTR Retrotransposon
ATHILA7LTR,Gypsy,LTR Retrotransposon
ATHILA7_I,Gypsy,LTR Retrotransposon
ATHILA8ALTR,Gypsy,LTR Retrotransposon
ATHILA8A_I,Gypsy,LTR Retrotransposon
ATHILA8BLTR,Gypsy,LTR Retrotransposon
ATHILA8B_I,Gypsy,LTR Retrotransposon
ATHILA_I,Gypsy,LTR Retrotransposon
ATHILA_LTR,Gypsy,LTR Retrotransposon
ATHPOGO,Mariner/Tc1,DNA transposon
ATHPOGON1,Mariner/Tc1,DNA transposon
ATHPOGON2,Mariner/Tc1,DNA transposon
ATHPOGON3,Mariner/Tc1,DNA transposon
ATIS112A,Harbinger,DNA transposon
ATLANTYS1_I,Gypsy,LTR Retrotransposon
ATLANTYS1_LTR,Gypsy,LTR Retrotransposon
ATLANTYS2B_I,Gypsy,LTR Retrotransposon
ATLANTYS2B_LTR,Gypsy,LTR Retrotransposon
ATLANTYS2_I,Gypsy,LTR Retrotransposon
ATLANTYS2_LTR,Gypsy,LTR Retrotransposon
ATLANTYS3I,Gypsy,LTR Retrotransposon
ATLANTYS3LTR,Gypsy,LTR Retrotransposon
ATLINE1A,other,other
ATLINE1_1,L1,Non-LTR Retrotransposon
ATLINE1_10,L1,Non-LTR Retrotransposon
ATLINE1_10A,L1,Non-LTR Retrotransposon
ATLINE1_11,other,other
ATLINE1_12,L1,Non-LTR Retrotransposon
ATLINE1_2,L1,Non-LTR Retrotransposon
ATLINE1_3A,L1,Non-LTR Retrotransposon
ATLINE1_4,L1,Non-LTR Retrotransposon
ATLINE1_5,L1,Non-LTR Retrotransposon
ATLINE1_6,L1,Non-LTR Retrotransposon
ATLINE1_7,other,other
ATLINE1_8,other,other
ATLINE1_9,other,other
ATLINE2,L1,Non-LTR Retrotransposon
ATLINEIII,L1,Non-LTR Retrotransposon
ATMU1,MuDR,DNA transposon
ATMU10,MuDR,DNA transposon
ATMU11,MuDR,DNA transposon
ATMU12,MuDR,DNA transposon
ATMU13,MuDR,DNA transposon
ATMU2,MuDR,DNA transposon
ATMU3,MuDR,DNA transposon
ATMU3N1,MuDR,DNA transposon
ATMU4,MuDR,DNA transposon
ATMU5,MuDR,DNA transposon
ATMU6,MuDR,DNA transposon
ATMU6N1,MuDR,DNA transposon
ATMU7,MuDR,DNA transposon
ATMU8,MuDR,DNA transposon
ATMU9,MuDR,DNA transposon
ATMUN1,MuDR,DNA transposon
ATMUN2,MuDR,DNA transposon
ATMUNX1,MuDR,DNA transposon
ATN9_1,MuDR,DNA transposon
ATRAN-I,other,other
ATRAN-LTR,other,other
ATRE1_I,Copia,LTR Retrotransposon
ATRE1_LTR,Copia,LTR Retrotransposon
ATREP1,Helitron,DNA transposon
ATREP10,Helitron,DNA transposon
ATREP10A,Helitron,DNA transposon
ATREP10B,Helitron,DNA transposon
ATREP10C,Helitron,DNA transposon
ATREP10D,Helitron,DNA transposon
ATREP11,Helitron,DNA transposon
ATREP11A,Helitron,DNA transposon
ATREP12,Helitron,DNA transposon
ATREP13,Helitron,DNA transposon
ATREP14,Helitron,DNA transposon
